PL-CCS kg/pl,PL-Tfe%,PL-FeO%,>16 mm,9-16 mm,6.3-9mm,<6.3 mm,Tumble%,Abrasion%,Porosity%,PL-SiO2%,PL-AL2O3%,PL-P%,PL-MnO%,PL-TiO2%,PL-CaO%,PL-MgO%
287,65.46,0.47,8.05,83.25,7.5,1.2,97.28,1.75,20.94,3.55,0.63,0.09,0.03,0.21,0.64,0.42
258,65.49,0.53,7.41,88.18,4,0.41,96.8,2.39,22.51,3.52,0.65,0.1,0.03,0.22,0.66,0.43
298,65.62,0.63,8.47,86.61,4.43,0.49,97.55,2.01,20.9,3.59,0.62,0.09,0.03,0.27,0.62,0.41
312,65.66,0.99,5.75,88.81,5,0.44,97.75,1.69,19.15,3.68,0.65,0.09,0.03,0.22,0.63,0.42
314,65.56,0.89,7.68,88.31,3.47,0.54,97.4,2,19.43,3.66,0.61,0.09,0.03,0.21,0.66,0.42
303,65.57,0.73,8.83,86.91,3.77,0.49,97.3,1.92,20.39,3.66,0.6,0.1,0.03,0.2,0.67,0.41
267,65.68,0.56,8.46,85.16,6.1,0.28,97.47,2.16,19.56,3.6,0.66,0.1,0.03,0.22,0.71,0.41
321,65.62,0.68,4.33,90.53,4.69,0.45,97.62,1.63,20.16,3.54,0.64,0.1,0.03,0.26,0.67,0.41
301,65.71,0.78,4.46,89.82,5.28,0.43,97.05,2.16,20.07,3.52,0.61,0.1,0.03,0.21,0.7,0.41
303,65.66,0.76,4.86,87.69,6.94,0.51,97.78,1.71,19.11,3.48,0.59,0.11,0.03,0.24,0.68,0.4
314,65.73,0.85,4.24,88.75,6.57,0.44,97.11,2.04,19.81,3.34,0.55,0.1,0.03,0.27,0.63,0.42
298,65.73,0.85,3.14,87.01,9.49,0.36,97.73,1.57,19.78,3.59,0.61,0.1,0.03,0.33,0.64,0.41
315,65.67,0.71,4.95,87.24,6.88,0.94,97.86,1.71,19.51,3.61,0.66,0.09,0.03,0.26,0.63,0.44
295,65.56,0.76,4.41,85.21,9.46,0.93,97.65,1.9,19.43,3.81,0.67,0.09,0.03,0.2,0.64,0.4
295,65.7,0.71,7.49,87,5.07,0.44,97.15,1.9,20.09,3.53,0.63,0.09,0.02,0.32,0.61,0.43
307,65.61,0.69,6.77,87.66,4.95,0.62,97.25,1.94,19.73,3.67,0.62,0.09,0.03,0.23,0.62,0.41
293,65.63,0.83,6.01,87.04,6.7,0.24,96.72,2.2,20.38,3.69,0.65,0.09,0.03,0.21,0.66,0.45
295,65.65,0.59,5.36,83.43,10.28,0.94,97.09,2.37,20.07,3.77,0.67,0.09,0.03,0.2,0.63,0.43
309,65.65,0.85,1.97,88.52,8.75,0.77,97.41,1.64,19.8,3.6,0.64,0.1,0.03,0.31,0.62,0.44
301,65.51,0.79,5.47,84.89,8.75,0.61,97.67,1.83,20.01,3.66,0.63,0.1,0.03,0.28,0.68,0.42
301,65.47,0.93,5.55,88.7,5.2,0.54,96.74,2.25,20.64,3.71,0.63,0.1,0.03,0.24,0.67,0.43
299,65.53,0.67,3.6,87.52,8.04,0.85,97.69,1.91,20.77,3.98,0.63,0.09,0.03,0.25,0.64,0.43
305,65.39,0.63,6.4,87.94,5.18,0.48,96.95,2.07,21.03,3.92,0.62,0.09,0.02,0.29,0.59,0.45
305,65.41,0.78,5.15,87.25,7.07,0.53,97.65,1.96,20.55,3.81,0.66,0.09,0.03,0.33,0.62,0.41
306,65.4,0.67,5.11,89.68,4.91,0.29,97.74,1.89,20.16,3.94,0.69,0.09,0.03,0.25,0.64,0.42
294,65.34,0.55,6.78,87.28,5.32,0.62,97.64,1.86,21.09,3.72,0.65,0.09,0.03,0.26,0.64,0.4
305,65.41,0.59,6.15,87.95,5.45,0.44,97.67,1.86,20.3,3.79,0.66,0.09,0.03,0.23,0.64,0.43
296,65.51,0.65,7.16,87.27,5.22,0.35,97.38,2.05,21.22,3.71,0.63,0.09,0.02,0.34,0.64,0.43
302,65.45,0.61,6.13,87.36,5.9,0.61,97.27,2.41,21.38,3.68,0.64,0.1,0.03,0.25,0.66,0.43
298,65.48,0.6,3.78,88.43,7.1,0.68,97.73,1.9,20.5,3.68,0.68,0.09,0.03,0.24,0.66,0.42
311,65.55,0.72,5.94,87.61,6.03,0.41,97.26,2.18,20.09,3.62,0.64,0.1,0.02,0.39,0.65,0.44
308,65.58,0.65,6.94,86.42,6.07,0.56,97.24,2.33,20.53,3.52,0.63,0.1,0.03,0.25,0.67,0.43
302,65.63,0.68,5.44,87.89,6.13,0.54,97.01,2.51,20.6,3.56,0.6,0.1,0.02,0.31,0.62,0.4
304,65.69,0.68,3.73,84.2,10.94,1.13,97.5,1.98,19.81,3.5,0.64,0.1,0.02,0.35,0.61,0.43
310,65.71,0.97,5.87,86.69,6.59,0.85,97.29,2.05,19.2,3.49,0.63,0.1,0.02,0.36,0.64,0.41
306,65.83,1.1,6.09,87.02,6.47,0.43,97.22,1.99,19.41,3.33,0.56,0.1,0.02,0.3,0.62,0.4
311,65.67,0.69,6.62,88.54,4.38,0.46,97.66,1.8,19.95,3.49,0.65,0.1,0.02,0.31,0.68,0.43
307,65.64,0.91,7.04,87.59,4.69,0.68,97.1,2.06,20.2,3.48,0.63,0.09,0.02,0.31,0.64,0.43
323,65.65,0.99,7.59,87.94,4.09,0.37,97.33,1.87,19.49,3.67,0.68,0.1,0.02,0.35,0.64,0.49
308,65.63,0.74,6.39,86.91,5.36,1.35,97.47,2.08,19.47,3.67,0.64,0.1,0.02,0.34,0.65,0.45
305,65.5,0.86,7.72,86.83,4.77,0.68,97.54,1.84,19.12,3.49,0.63,0.1,0.03,0.29,0.67,0.43
317,65.58,0.85,6.34,87.97,5.15,0.54,96.94,2.39,19.26,3.56,0.65,0.1,0.02,0.31,0.62,0.44
301,65.54,0.74,5.94,87.75,5.57,0.74,97.55,1.76,19.77,3.62,0.65,0.1,0.02,0.38,0.62,0.45
322,65.64,0.76,5.79,88.59,5.27,0.35,97.55,1.81,19.95,3.52,0.64,0.11,0.02,0.3,0.65,0.39
309,65.66,0.68,6.64,87.7,4.98,0.68,97.66,1.75,19.55,3.48,0.65,0.12,0.02,0.24,0.7,0.41
320,65.82,0.94,6.18,88.55,4.66,0.6,97.4,1.78,19.38,3.19,0.56,0.11,0.02,0.32,0.64,0.34
314,65.96,0.77,5.18,88.73,5.37,0.72,97.79,1.79,19.75,3.28,0.56,0.1,0.02,0.2,0.66,0.38
304,65.91,0.93,7.38,88.68,3.41,0.54,97.09,2.26,20.09,3.28,0.56,0.1,0.02,0.32,0.59,0.4
293,65.74,0.73,7.42,88.97,3.29,0.32,97.28,1.91,20.73,3.52,0.63,0.1,0.02,0.3,0.63,0.41
319,65.77,0.65,6.98,88.98,3.6,0.45,97.3,1.88,20.39,3.35,0.58,0.1,0.02,0.32,0.61,0.39
313,65.89,0.7,3.78,88.52,6.67,1.02,97.62,1.83,20.17,3.27,0.57,0.1,0.02,0.43,0.6,0.39
304,65.92,0.61,6.02,86.55,6.73,0.7,97.37,1.99,21.04,3.11,0.52,0.1,0.02,0.29,0.62,0.38
285,65.96,0.73,4.66,88.46,6.14,0.73,97.54,2.01,20.84,3.18,0.58,0.1,0.02,0.28,0.64,0.39
334,65.79,0.78,5.13,87.93,6.36,0.58,97.35,1.75,18.11,3.36,0.6,0.1,0.02,0.34,0.6,0.37
321,65.81,0.7,5.34,90.12,3.94,0.61,97.43,1.84,19.61,3.54,0.65,0.1,0.03,0.33,0.68,0.45
324,65.8,0.95,5.11,88.89,5.45,0.56,97.8,1.53,17.77,3.34,0.56,0.1,0.03,0.2,0.66,0.35
315,65.89,0.64,4.26,91.29,4.08,0.37,97.86,1.67,19.54,3.37,0.59,0.1,0.03,0.21,0.65,0.38
319,65.89,0.71,6.71,88.57,4.26,0.46,97.44,1.82,20.04,3.34,0.62,0.1,0.03,0.19,0.67,0.39
